DoY-2007  np  V  Vx  Vy  Vz  B  Bx  By  Bz       
      238.00016     5.35300   406.66000  -405.85700    17.61600   -18.60300     6.79000    -5.56900    -2.95400    -2.48600
      238.00090     6.10200   402.26000  -401.51500    23.09700    -8.15300     6.72200    -5.38000    -2.89300    -2.77700
      238.00164     5.88000   403.92000  -403.22800    18.35600   -14.93300     6.58800    -5.27400    -2.87100    -2.68800
      238.00238     5.50700   399.84000  -399.12900    22.70400    -7.30000     6.36000    -4.75800    -2.80100    -3.06300
      238.00313     6.33200   392.57000  -391.76600    20.00100   -15.18900     6.10600    -4.55400    -2.34800    -3.23600
      238.00387     5.56300   395.72000  -395.01100    22.54100    -7.34800     6.27300    -4.60100    -2.33400    -3.36700
      238.00461     8.05200   400.15000  -398.83600    28.13300   -16.07600     6.29700    -4.01200    -2.11600    -3.88900
      238.00535     5.34700   392.31000  -391.61000    20.48000   -11.53300     6.27200    -4.38800    -2.11100    -3.70700
      238.00609     5.89400   394.20000  -393.62400    20.09000    -6.82600     6.11200    -3.76400    -3.29900    -3.42600
      238.00683     6.63600   399.57000  -398.86300    19.36000   -13.64000     6.11500    -3.93400    -2.77500    -3.70000
      238.00757     6.39100   395.69000  -394.92900    20.38400   -13.76300     6.30500    -3.95300    -3.04800    -3.81400
      238.00831     6.34100   394.16000  -393.40000    23.77700    -5.78900     6.34300    -4.42400    -2.94100    -3.38500
      238.00905     6.62900   393.68000  -392.96000    22.88100    -6.65900     6.28600    -4.91400    -2.76900    -2.67900
      238.00979     5.90200   399.34000  -398.55900    24.53700    -4.77900     6.14100    -4.78400    -2.23200    -3.08200
      238.01053     5.40800   397.03000  -396.18100    24.45700    -8.91800     6.13400    -4.05700    -2.63800    -3.73600
      238.01127     6.73000   397.01000  -395.96100    26.85600   -10.40500     6.21700    -4.93100    -1.86400    -3.23300
      238.01201     7.11800   395.41000  -394.22100    30.67200      .63300     6.28500    -4.54600    -2.53700    -3.51100
      238.01275     6.51300   403.76000  -402.94000    24.37400    -8.18100     6.11600    -4.78400    -2.26100    -3.05700
